duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
1,udp,other,REJ,52,43,1,3,0,30,0,0,0,0,0,0,0,0,0,0,0,1,304,312,0.95,0.78,0.06,0.07,0.86,0.03,0.09,49,190,0.81,0.56,0.59,0.56,0.85,0.73,0.06,0.07,land
0,udp,eco_i,RSTO,13,73,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,179,436,0.9,1.01,0.17,0.19,0.87,0.06,0.97,13,136,0.03,0.27,0.76,0.92,0.82,0.73,0.13,0.19,land
15,tcp,private,REJ,3574,6213,0,0,0,2,0,1,0,0,0,0,4,0,4,0,0,0,27,30,0.03,0.03,0.04,0.04,0.92,0.23,0.05,41,139,0.44,0.42,0.61,0.41,0.03,0.03,0.03,0.03,normal
3,icmp,eco_i,S0,28,50,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,103,204,0.86,0.86,0.04,0.04,0.83,0.03,0.13,117,181,0.07,0.86,0.04,0.02,1.08,1.05,0.04,0.04,pod
2,tcp,other,S0,41,21,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,1,453,285,0.82,0.94,0.17,0.19,0.85,0.06,0.22,86,39,0.51,0.11,0.51,0.91,0.74,0.93,0.2,0.2,teardrop
74,udp,smtp,SF,9919,2554,0,0,0,14,0,1,0,0,0,0,4,0,4,0,1,0,49,49,0.07,0.08,0.02,0.02,0.93,0.15,0.15,34,240,0.44,0.3,0.27,0.06,0.07,0.06,0.02,0.01,normal
10,tcp,other,RSTO,29,37,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,191,1,0.72,0.71,0.4,0.46,0.2,0.66,0.84,43,88,0.04,0.71,0.99,0.52,0.77,0.67,0.51,0.38,portsweep
4,tcp,eco_i,S0,42,12,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,245,229,0.94,1.1,0.13,0.12,0.98,0.09,0.66,200,66,0.6,0.94,0.31,0.38,1.11,1.12,0.14,0.16,land
4,tcp,other,RSTO,2,46,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,192,209,0.87,0.99,0.15,0.13,0.84,0.1,0.77,19,172,0.88,0.62,0.6,0.15,0.7,0.97,0.16,0.19,land
3,tcp,eco_i,REJ,56,78,0,2,0,25,0,0,0,0,0,0,0,0,0,0,1,0,485,483,0.96,0.91,0.05,0.06,0.85,0.1,0.98,236,144,0.78,0.5,0.42,0.16,0.78,1.02,0.06,0.03,neptune
190,icmp,http,REJ,8502,2092,0,0,0,30,0,1,0,0,0,0,3,0,0,0,0,0,19,6,0.08,0.09,0.03,0.03,0.97,0.04,0.93,212,27,0.4,0.37,0.39,0.08,0.06,0.07,0.02,0.03,normal
74,tcp,http,S0,7790,2323,0,0,0,17,0,1,0,0,0,0,1,0,1,0,1,0,49,46,0.05,0.04,0.06,0.06,0.97,0.01,0.3,24,122,0.42,0.79,0.46,0.11,0.06,0.05,0.04,0.06,normal
73,udp,ssh,SF,5830,3991,0,0,0,16,0,1,0,0,0,0,4,0,4,0,0,0,37,27,0.02,0.02,0.07,0.07,0.86,0.11,0.64,191,129,0.75,0.36,0.07,0.24,0.02,0.01,0.07,0.08,normal
180,icmp,ftp,REJ,2918,7662,0,0,0,9,0,1,0,0,0,0,3,0,0,0,0,0,45,31,0.06,0.05,0.08,0.07,0.72,0.23,0.04,158,203,0.99,0.54,0.25,0.75,0.05,0.06,0.09,0.1,normal
63,udp,ssh,S0,7254,6384,0,0,0,13,0,1,0,0,0,0,0,0,5,0,0,0,22,12,0.05,0.05,0.05,0.06,0.98,0.16,0.18,150,164,0.1,0.33,0.3,0.45,0.06,0.04,0.05,0.05,normal
4,tcp,other,RSTO,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443,426,0.88,0.72,0.1,0.08,0.95,0.02,0.78,187,185,0.38,0.57,0.61,0.68,1.12,0.81,0.12,0.11,back
203,udp,private,S0,4139,1908,0,0,0,14,0,1,0,0,0,0,2,0,5,0,0,0,2,48,0.02,0.02,0.05,0.05,0.97,0.04,0.92,251,102,0.12,0.85,0.45,0.9,0.02,0.01,0.06,0.06,normal
177,icmp,http,REJ,8932,4807,0,0,0,3,0,1,0,0,0,0,4,0,1,0,0,0,20,11,0.07,0.08,0.09,0.08,0.89,0.24,0.49,184,188,0.47,0.98,0.13,0.88,0.05,0.07,0.1,0.09,normal
209,icmp,http,SF,5244,1265,0,0,0,5,0,1,0,0,0,0,5,0,4,0,0,0,29,30,0.07,0.07,0.03,0.04,0.96,0.23,0.06,63,78,0.3,0.16,0.93,0.23,0.09,0.07,0.03,0.03,normal
282,udp,smtp,REJ,5011,8790,0,0,0,28,0,1,0,0,0,0,4,0,5,0,1,0,6,33,0.06,0.07,0.06,0.06,0.87,0.05,0.83,14,41,0.05,0.64,0.58,0.65,0.07,0.06,0.06,0.06,normal
5,tcp,eco_i,RSTOS0,31,87,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,252,332,0.81,0.75,0.01,0.01,0.89,0.05,0.73,176,204,0.13,0.37,0.56,0.32,0.8,0.7,0.01,0.01,back
196,icmp,ssh,SF,2666,5414,0,0,0,15,0,1,0,0,0,0,3,0,2,0,0,0,37,47,0.03,0.03,0.08,0.07,0.85,0.15,0.46,123,110,0.58,0.05,0.28,0.6,0.04,0.03,0.07,0.05,normal
68,udp,private,S0,6656,6045,0,0,0,14,0,1,0,0,0,0,3,0,4,0,1,0,3,26,0.01,0.01,0.06,0.06,0.81,0.09,0.61,65,49,0.39,0.79,0.34,0.94,0.01,0.0,0.06,0.06,normal
70,icmp,ftp,S0,8558,7537,0,0,0,23,0,1,0,0,0,0,3,0,4,0,1,0,10,39,0.09,0.09,0.01,0.01,0.98,0.1,0.51,250,153,0.47,0.02,0.33,0.11,0.08,0.08,0.02,0.02,normal
3,udp,private,S0,74,61,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,368,422,0.94,0.83,0.15,0.15,0.88,0.08,0.42,211,104,0.41,0.77,0.92,0.87,1.08,0.7,0.12,0.13,pod
244,icmp,ssh,S0,2887,7581,0,0,0,19,0,1,0,0,0,0,5,0,2,0,1,0,35,22,0.05,0.05,0.07,0.06,0.96,0.2,0.56,115,152,0.77,0.7,0.69,0.49,0.05,0.06,0.09,0.08,normal
293,icmp,domain,S0,6514,5704,0,0,0,8,0,1,0,0,0,0,3,0,5,0,1,0,50,10,0.03,0.03,0.03,0.03,0.91,0.1,0.27,139,70,0.11,0.74,0.24,0.05,0.04,0.02,0.02,0.02,normal
241,tcp,private,SF,134,9066,0,0,0,9,0,1,0,0,0,0,2,0,2,0,0,0,11,27,0.07,0.08,0.09,0.07,0.84,0.2,0.57,19,89,0.42,0.84,0.93,0.04,0.08,0.08,0.07,0.1,normal
0,tcp,eco_i,SF,21,18,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,166,9,0.76,0.71,0.44,0.49,0.04,0.75,0.65,95,7,0.74,0.79,0.57,0.76,0.61,0.93,0.55,0.53,nmap
44,udp,private,SF,3077,2353,0,0,0,9,0,1,0,0,0,0,2,0,2,0,0,0,31,21,0.09,0.08,0.0,0.0,0.82,0.13,0.24,60,238,0.31,0.41,0.5,0.9,0.11,0.08,0.0,0.0,normal
113,tcp,smtp,S0,2559,7504,0,0,0,24,0,1,0,0,0,0,5,0,1,0,0,0,48,39,0.04,0.04,0.07,0.07,0.97,0.23,0.79,228,185,0.08,0.56,0.06,0.55,0.04,0.04,0.06,0.06,normal
59,icmp,smtp,REJ,9604,8058,0,0,0,17,0,1,0,0,0,0,4,0,0,0,1,0,6,33,0.04,0.05,0.01,0.01,0.74,0.12,0.02,130,1,0.75,0.58,0.05,0.34,0.03,0.06,0.01,0.0,normal
36,tcp,http,SF,2318,784,0,0,0,27,0,1,0,0,0,0,10,0,10,0,0,0,14,6,0.3,0.32,0.11,0.11,0.65,0.47,0.18,201,65,0.73,0.22,0.0,0.02,0.26,0.33,0.12,0.12,warezclient
7,udp,private,REJ,12,46,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,245,2,0.52,0.46,0.33,0.28,0.18,0.97,0.03,24,125,0.74,0.4,0.23,0.22,0.63,0.38,0.33,0.29,ipsweep
9,udp,other,REJ,15,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,274,3,0.99,1.02,0.26,0.21,0.12,0.64,0.34,195,163,0.7,0.41,0.3,0.18,1.02,0.84,0.22,0.32,mscan
237,tcp,domain,S0,6874,9180,0,0,0,2,0,1,0,0,0,0,3,0,2,0,0,0,34,9,0.04,0.03,0.03,0.02,0.8,0.02,0.6,20,37,0.19,0.76,0.72,0.56,0.04,0.05,0.02,0.03,normal
97,icmp,http,REJ,7896,4024,0,0,0,14,0,1,0,0,0,0,2,0,3,0,1,0,45,39,0.07,0.06,0.04,0.04,0.77,0.1,0.88,238,50,0.8,0.72,0.76,0.32,0.06,0.06,0.03,0.05,normal
2,tcp,other,RSTO,19,25,0,2,0,10,0,0,0,0,0,0,0,0,0,0,1,1,217,294,0.91,1.08,0.05,0.05,0.91,0.09,0.49,86,180,0.17,0.72,0.49,0.92,0.94,0.99,0.04,0.04,neptune
0,tcp,eco_i,S0,40,14,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,1,67,3,0.5,0.41,0.25,0.26,0.11,0.81,0.41,8,140,0.54,0.29,0.5,0.7,0.48,0.64,0.2,0.32,mscan
123,tcp,domain,REJ,4185,5857,0,0,0,9,0,1,0,0,0,0,5,0,1,0,0,0,18,26,0.01,0.01,0.1,0.11,0.84,0.07,0.76,47,207,0.38,0.55,0.06,0.01,0.01,0.01,0.09,0.11,normal
48,icmp,http,SF,3513,9336,0,0,0,1,0,1,0,0,0,0,4,0,5,0,0,0,31,18,0.0,0.01,0.01,0.01,0.98,0.27,0.96,73,203,0.93,0.3,0.56,0.57,0.01,0.01,0.01,0.01,normal
5,tcp,eco_i,S0,12,55,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,138,274,0.92,1.03,0.12,0.12,0.92,0.1,0.23,192,221,0.19,0.59,0.38,0.77,0.81,0.78,0.09,0.11,land
78,icmp,ssh,S0,5959,1795,0,0,0,13,0,1,0,0,0,0,0,0,1,0,1,0,6,1,0.09,0.1,0.04,0.04,0.93,0.03,0.1,45,181,0.55,0.6,0.78,0.86,0.07,0.09,0.05,0.05,normal
124,icmp,domain,SF,6287,2827,0,0,0,15,0,1,0,0,0,0,3,0,2,0,0,0,9,18,0.03,0.03,0.05,0.06,0.72,0.13,0.72,253,100,0.46,0.14,0.01,0.4,0.04,0.03,0.06,0.05,normal
69,udp,ftp,REJ,3340,7898,0,0,0,25,0,1,0,0,0,0,3,0,4,0,0,0,21,12,0.1,0.09,0.1,0.09,0.79,0.21,0.79,186,58,0.93,0.2,1.0,0.18,0.11,0.07,0.11,0.12,normal
149,icmp,http,S0,8230,2330,0,0,0,19,0,1,0,0,0,0,0,0,3,0,1,0,41,20,0.02,0.02,0.07,0.07,0.91,0.24,0.92,214,18,0.79,0.36,0.9,0.54,0.03,0.02,0.08,0.07,normal
22,icmp,private,REJ,6597,5482,0,0,0,18,0,1,0,0,0,0,4,0,5,0,0,0,28,7,0.0,0.0,0.03,0.02,0.85,0.16,0.77,77,176,1.0,0.48,0.3,0.92,0.0,0.0,0.03,0.02,normal
105,icmp,ssh,S0,7851,1649,0,0,0,27,0,1,0,0,0,0,0,0,0,0,1,0,29,47,0.07,0.07,0.03,0.03,0.79,0.24,0.16,124,89,0.55,0.33,0.43,0.46,0.08,0.08,0.03,0.03,normal
101,udp,domain,S0,6420,122,0,0,0,5,0,1,0,0,0,0,0,0,4,0,1,0,46,14,0.02,0.02,0.08,0.07,0.94,0.02,0.26,250,160,0.6,0.61,0.59,0.35,0.02,0.02,0.09,0.08,normal
43,icmp,smtp,S0,1981,3958,0,0,0,12,0,1,0,0,0,0,1,0,4,0,1,0,20,8,0.02,0.02,0.07,0.07,0.85,0.13,0.69,88,85,0.49,0.14,0.31,0.45,0.01,0.02,0.05,0.05,normal
8,icmp,eco_i,RSTO,43,31,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,156,8,0.74,0.66,0.04,0.04,0.01,0.88,0.78,253,57,0.57,0.27,0.54,0.99,0.76,0.86,0.05,0.04,saint
217,tcp,private,REJ,4105,4927,0,0,0,6,0,1,0,0,0,0,0,0,1,0,1,0,3,29,0.03,0.03,0.09,0.09,0.73,0.26,0.43,71,105,0.81,0.81,0.57,0.53,0.03,0.02,0.11,0.08,normal
263,icmp,http,SF,6793,1021,0,0,0,12,0,1,0,0,0,0,1,0,5,0,1,0,18,42,0.01,0.01,0.09,0.09,0.77,0.21,0.63,192,231,0.08,0.79,0.77,0.4,0.01,0.01,0.11,0.08,normal
297,tcp,private,SF,7561,5919,0,0,0,10,0,1,0,0,0,0,2,0,2,0,0,0,5,35,0.04,0.04,0.1,0.1,0.95,0.15,0.34,24,23,0.1,0.78,0.46,0.12,0.05,0.04,0.07,0.12,normal
67,icmp,ftp,SF,4539,1579,0,0,0,9,0,1,0,0,0,0,3,0,5,0,0,0,42,24,0.03,0.02,0.04,0.03,0.97,0.05,0.1,109,244,0.08,0.59,0.52,0.45,0.02,0.02,0.03,0.05,normal
0,tcp,other,S0,93,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,260,288,0.98,0.99,0.03,0.02,0.95,0.08,0.65,225,179,0.72,0.63,0.15,0.41,1.09,1.19,0.02,0.02,teardrop
5,udp,eco_i,RSTOS0,40,17,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,1,241,430,0.82,0.72,0.11,0.12,0.92,0.06,0.19,200,151,0.65,0.78,0.79,0.24,0.76,0.69,0.12,0.08,pod
5,udp,private,RSTO,36,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,9,0.84,0.76,0.38,0.31,0.29,0.89,0.06,203,146,0.63,0.5,0.42,0.7,0.63,0.86,0.41,0.33,portsweep
261,tcp,smtp,REJ,5403,6451,0,0,0,30,0,1,0,0,0,0,3,0,5,0,0,0,38,41,0.08,0.06,0.06,0.05,0.89,0.09,0.43,232,28,0.31,0.74,0.74,0.12,0.09,0.09,0.05,0.08,normal
132,tcp,ftp,SF,4453,1984,0,0,0,2,0,1,0,0,0,0,4,0,5,0,1,0,50,2,0.03,0.03,0.04,0.04,0.86,0.08,0.5,85,188,0.16,0.77,0.89,0.67,0.03,0.04,0.03,0.05,normal
23,udp,ftp,S0,2508,2982,0,0,0,29,0,1,0,0,0,0,1,0,3,0,1,0,3,36,0.08,0.07,0.07,0.06,0.9,0.07,0.37,26,91,0.22,0.52,0.05,0.4,0.1,0.1,0.08,0.06,normal
233,tcp,ftp,SF,4827,9287,0,0,0,28,0,1,0,0,0,0,1,0,5,0,0,0,20,48,0.06,0.05,0.05,0.05,0.88,0.15,0.02,177,4,0.95,0.0,0.66,0.85,0.07,0.05,0.05,0.04,normal
30,tcp,private,S0,1574,769,0,0,0,16,0,1,0,0,0,0,4,0,0,0,0,0,15,34,0.04,0.04,0.09,0.09,0.84,0.22,0.59,31,222,0.66,0.13,0.29,0.85,0.05,0.04,0.11,0.08,normal
119,tcp,smtp,SF,9629,1835,0,0,0,9,0,1,0,0,0,0,1,0,3,0,1,0,10,7,0.02,0.01,0.05,0.04,0.82,0.16,0.16,155,20,0.22,0.86,0.15,0.71,0.02,0.02,0.03,0.04,normal
0,udp,eco_i,S0,6,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,76,3,0.56,0.6,0.03,0.04,0.23,0.61,0.08,132,38,0.02,0.06,0.9,0.44,0.44,0.7,0.04,0.03,ipsweep
236,tcp,smtp,REJ,7146,6521,0,0,0,14,0,1,0,0,0,0,2,0,2,0,0,0,32,2,0.04,0.03,0.04,0.04,0.81,0.27,0.25,151,255,0.41,0.55,0.06,0.28,0.03,0.03,0.05,0.04,normal
0,udp,eco_i,RSTOS0,69,100,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,1,276,389,0.9,0.74,0.08,0.09,0.84,0.03,0.53,119,81,0.1,0.66,0.27,0.82,1.13,0.66,0.1,0.06,pod
5,tcp,private,S0,37,20,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,256,6,0.96,1.09,0.01,0.02,0.21,0.97,0.97,158,89,0.49,0.09,0.23,0.22,0.97,0.67,0.02,0.01,satan
90,udp,http,SF,2470,9661,0,0,0,30,0,1,0,0,0,0,2,0,5,0,1,0,46,10,0.08,0.08,0.08,0.08,0.96,0.29,0.32,80,223,0.79,0.96,0.65,0.17,0.1,0.09,0.11,0.1,normal
89,udp,ftp,REJ,4875,2136,0,0,0,5,0,1,0,0,0,0,4,0,0,0,1,0,12,47,0.0,0.0,0.07,0.08,0.87,0.26,0.22,53,254,0.14,0.75,0.24,0.98,0.0,0.0,0.05,0.08,normal
3,tcp,http,RSTO,26,31,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,279,231,0.96,0.95,0.14,0.14,0.81,0.04,0.55,51,245,0.79,0.58,0.76,0.23,0.93,1.13,0.1,0.1,back
